,,,,,
Mbeya University of Science and Technology (MUST),Diploma in Food Science and Technology,"Certificate of Secondary Education Examination (CSEE) with at least
four passes in non-religious subjects three of which must be in
Mathematics, Physics/Chemistry or Biology. OR Certificate of
Secondary Education Examination (CSEE) from Technical Secondary
School with a pass in at least four passes in non-religious subjects
three of which must be in Mathematics, Engineering
Science/Chemistry and Biology and one of the following subjects:
Architectural Drafting/Building, Construction, Electrical Engineering,
Science/Electrical Drafting or Workshop Technology/Mechanical
Drafting. OR Certificate of Secondary Education Examination (CSEE)
with at least four passes in non-religious subjects two of which must
be in the following subjects Mathematics, Physics, Chemistry or
Biology with Trade Test Grade 1 or National Vocational Award (NVA)
Level III issued by VETA.",3,100,"Local Fee: TSH. 600,000/="
Mbeya University of Science and Technology (MUST),Diploma in High Way Engineering,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least Four (4) Passes in non-religious Subjects including
Physics, Chemistry and Basic Mathematics.",3,100,"Local Fee: TSH. 600,000/="
Mbeya University of Science and Technology (MUST),"Diploma in Information and Communication
Technology","Holder of Certificate of Secondary Education with at least Four (4)
passes in non-religious subject including Basic Mathematics and
English Language.",3,100,"Local Fee: TSH. 600,000/="
Mbeya University of Science and Technology (MUST),Diploma in Laboratory Sciences Technology,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least Four (4) passes in non-religious subjects including
Physics, Chemistry and Basic Mathematics.",3,100,"Local Fee: TSH. 90,000/="
Mbeya University of Science and Technology (MUST),Diploma in Mechanical Engineering,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least Four (4) passes in non-religious subjects including passes
in physics, Chemistry and Basic Mathematics.",3,100,"Local Fee: TSH. 600,000/="
Mbeya University of Science and Technology (MUST),Diploma in Mechatronics Engineering,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least Four (4) passes in non-religious subjects including
Physics, Chemistry and Basic Mathematics.",3,100,"Local Fee: TSH. 600,000/="
Mbeya University of Science and Technology (MUST),Diploma in Mining Engineering,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least Four (4) passes in non-religious subjects including
Physics, Chemistry and Basic Mathematics.",3,100,"Local Fee: TSH. 1,400,000/="
,,,,,
,,,,,
,,,,,
university_name,Program Name (Award),Admission Requirements,Program Duration (Yrs),Admission Capacity,Tuition Fees
Moshi Cooperative University (MoCU),"Diploma in Business Information and
Communication Technology","Holders of Certificate in Business and Information Technology OR
Advanced Certificate of Secondary Education Examination (ACSEE)
with at least one principal pass and one subsidiary in Principal
subjects",2,150,"Local Fee: TSH. 750,000/="
Moshi Cooperative University (MoCU),"Diploma in Co-operative Management and
Accounting","Holders of Certificate in Cooperative Management and Accounting OR
Advanced Certificate of Secondary Education Examination (ACSEE)
with at least one principal pass and one subsidiary in Principal
subjects",2,300,"Local Fee: TSH. 750,000/="
Moshi Cooperative University (MoCU),Diploma in Enterprise Management,"Holders of Certificate in Enterprise Management OR Advanced
Certificate of Secondary Education Examination (ACSEE) with at least
one principal pass and one subsidiary Principal subjects",2,250,"Local Fee: TSH. 750,000/="
Moshi Cooperative University (MoCU),Diploma in Human Resource Management,"Holders of Certificate in Human Resource Management OR Advanced
Certificate of Secondary Education Examination (ACSEE) with at least
one principal pass and one subsidiary in Principal subjects",2,300,"Local Fee: TSH. 750,000/="
Moshi Cooperative University (MoCU),Diploma in Library and Archival Studies,"Holders of Certificate in Library and Archival Studies OR Advanced
Certificate of Secondary Education Examination (ACSEE) with at least
one principal pass and one subsidiary Principal subjects",2,150,"Local Fee: TSH. 750,000/="
Moshi Cooperative University (MoCU),Diploma in Microfinance Management,"Holders of Certificate in Accounting, Banking and Finance OR
Advanced Certificate of Secondary Education Examination (ACSEE) with at least one principal pass and one subsidiary Principal subjects",2,250,"Local Fee: TSH. 750,000/="
,,,,,
,,,,,
,,,,,
university_name,Program Name (Award),Admission Requirements,Program Duration (Yrs),Admission Capacity,Tuition Fees
Muhimbili University of Health and Allied Sciences (MUHAS),Diploma in Diagnostic Radiography (ddr) - Evening,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) passes in non-religious subjects including English
and at least three (3) Credits in either Physics, Chemistry, Biology and
Mathematics. Physics is a major subject.",3,35,"Local Fee: TSH. 1,527,400/="
Muhimbili University of Health and Allied Sciences (MUHAS),Diploma in Diagnostic Radiography - Ddr - Regular,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) passes in non-religious subjects including English
and at least three (3) Credits one in Physics and two (2) others from
either Chemistry, Biology and Mathematics.",3,35,"Local Fee: TSH. 777,400/="
Muhimbili University of Health and Allied Sciences (MUHAS),"Diploma in Environmental Health Sciences -
(DEHS) (dar Es Salaam)","Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) Passes in non-religious Subjects, including
English and at least Three (3) Credits one in Mathematics and two
others from Physics, Chemistry or Biology.",3,75,"Local Fee: TSH. 777,400/="
Muhimbili University of Health and Allied Sciences (MUHAS),"Diploma in Environmental Health Sciences (DEHS)
- Mpwapwa, Evening","Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) Passes in non-religious Subjects, including
English and at least three (3) Credits one in Mathematics and two
others from Physics, Chemistry and Biology.",3,50,"Local Fee: TSH. 1,527,400/="
Muhimbili University of Health and Allied Sciences (MUHAS),"Diploma in Environmental Health Sciences (DEHS)
- Tanga - Evening","Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) Passes in non-religious subjects, including
English and at least three (3) Credits one in Mathematics and two
others from Physics, Chemistry and Biology .",3,50,"Local Fee: TSH. 1,527,400/="
Muhimbili University of Health and Allied Sciences (MUHAS),"Diploma in Environmental Health Sciences (DEHS)
- Tanga - Regular","Holders of Certificate of Secondary Education Examination (CSEE)
with at least Four (4) Passes in non-religious Subjects, including
English and at least Three (3) Credits one in Mathematics and two
others from Physics, Chemistry and Biology",3,50,"Local Fee: TSH. 777,400/="
Muhimbili University of Health and Allied Sciences (MUHAS),"Diploma in Environmental Health Sciences - DEHS
- (Dar es Salaam) - Evening","Holders of Certificate of Secondary Education Examination (CSEE)
with at least Four (4) Passes in non-religious Subjects, including
English and at least Three (3) Credits one in Mathematics and two
others from Physics, Chemistry and Biology .",3,75,"Local Fee: TSH. 1,527,400/="
